fecha,barrio,formacion,total,mujer,varon
"2021-01-01","Perales del Rio","B.Superior.BUP,COU","1354","701","653"
"2021-01-01","Perales del Rio","Otras titulaciones medias","147","82","65"
"2021-01-01","Perales del Rio","Diplomados","318","226","92"
"2021-01-01","Perales del Rio","Arquitecto, Ingeniero Tec","82","24","58"
"2021-01-01","Perales del Rio","Licenciado Universitario","1025","602","423"
"2021-01-01","Perales del Rio","Estudios superiores no Un","33","19","14"
"2021-01-01","Perales del Rio","Doctorado Postgrado","207","115","92"
"2021-01-01","Perales del Rio","Valor Desconocido","15","8","7"
"2021-01-01","San Isidro","Menores de 16","1235","567","668"
"2021-01-01","San Isidro","No sabe leer ni escribir","170","93","77"
"2021-01-01","San Isidro","Sin Estudios","756","452","304"
"2021-01-01","San Isidro","Enseñanza Primaria incomp","1590","854","736"
"2021-01-01","San Isidro","Enseñanza Secundaria","2340","1120","1220"
"2021-01-01","San Isidro","FP1 Grado Medio","461","202","259"
"2021-01-01","San Isidro","FP2 Grado Superior","453","191","262"
"2021-01-01","San Isidro","B.Superior.BUP,COU","930","495","435"
"2021-01-01","San Isidro","Otras titulaciones medias","67","40","27"
"2021-01-01","San Isidro","Diplomados","123","86","37"
"2021-01-01","San Isidro","Arquitecto, Ingeniero Tec","48","12","36"
"2021-01-01","San Isidro","Licenciado Universitario","456","272","184"
"2021-01-01","San Isidro","Estudios superiores no Un","8","4","4"
"2021-01-01","San Isidro","Doctorado Postgrado","75","39","36"
"2021-01-01","San Isidro","Valor Desconocido","14","10","4"
"2021-01-01","Sector III","Menores de 16","2596","1238","1358"
"2021-01-01","Sector III","No sabe leer ni escribir","105","50","55"
"2021-01-01","Sector III","Sin Estudios","795","519","276"
"2021-01-01","Sector III","Enseñanza Primaria incomp","2791","1577","1214"
"2021-01-01","Sector III","Enseñanza Secundaria","4233","2133","2100"
"2021-01-01","Sector III","FP1 Grado Medio","1184","513","671"
"2021-01-01","Sector III","FP2 Grado Superior","1237","409","828"
"2021-01-01","Sector III","B.Superior.BUP,COU","2698","1323","1375"
"2021-01-01","Sector III","Otras titulaciones medias","545","317","228"
"2021-01-01","Sector III","Diplomados","535","399","136"
"2021-01-01","Sector III","Arquitecto, Ingeniero Tec","186","61","125"
"2021-01-01","Sector III","Licenciado Universitario","2607","1346","1261"
"2021-01-01","Sector III","Estudios superiores no Un","26","5","21"
"2021-01-01","Sector III","Doctorado Postgrado","480","266","214"
"2021-01-01","Sector III","Valor Desconocido","82","29","53"
"2021-03-01","Buenavista","Menores de 16","2891","1365","1526"
"2021-03-01","Buenavista","No sabe leer ni escribir","1","1",
"2021-03-01","Buenavista","Sin Estudios","56","33","23"
"2021-03-01","Buenavista","Enseñanza Primaria incomp","234","107","127"
"2021-03-01","Buenavista","Enseñanza Secundaria","1364","537","827"
"2021-03-01","Buenavista","FP1 Grado Medio","779","332","447"
"2021-03-01","Buenavista","FP2 Grado Superior","808","334","474"
"2021-03-01","Buenavista","B.Superior.BUP,COU","1152","533","619"
"2021-03-01","Buenavista","Otras titulaciones medias","57","30","27"
"2021-03-01","Buenavista","Diplomados","691","499","192"
"2021-03-01","Buenavista","Arquitecto, Ingeniero Tec","226","63","163"
"2021-03-01","Buenavista","Licenciado Universitario","1481","912","569"
"2021-03-01","Buenavista","Estudios superiores no Un","38","14","24"
"2021-03-01","Buenavista","Doctorado Postgrado","381","233","148"
"2021-03-01","Centro","Menores de 16","4382","2163","2219"
"2021-03-01","Centro","No sabe leer ni escribir","139","95","44"
"2021-03-01","Centro","Sin Estudios","1716","1063","653"
"2021-03-01","Centro","Enseñanza Primaria incomp","4561","2603","1958"
"2021-03-01","Centro","Enseñanza Secundaria","7659","3880","3779"
"2021-03-01","Centro","FP1 Grado Medio","1635","702","933"
"2021-03-01","Centro","FP2 Grado Superior","1502","628","874"
"2021-03-01","Centro","B.Superior.BUP,COU","4267","2141","2126"
"2021-03-01","Centro","Otras titulaciones medias","458","303","155"
"2021-03-01","Centro","Diplomados","648","455","193"
"2021-03-01","Centro","Arquitecto, Ingeniero Tec","192","66","126"
"2021-03-01","Centro","Licenciado Universitario","3001","1738","1263"
"2021-03-01","Centro","Estudios superiores no Un","62","34","28"
"2021-03-01","Centro","Doctorado Postgrado","585","314","271"
"2021-03-01","Centro","Valor Desconocido","68","36","32"
"2021-03-01","El Bercial","Menores de 16","5240","2537","2703"
"2021-03-01","El Bercial","No sabe leer ni escribir","36","25","11"
"2021-03-01","El Bercial","Sin Estudios","476","293","183"
"2021-03-01","El Bercial","Enseñanza Primaria incomp","1323","697","626"
"2021-03-01","El Bercial","Enseñanza Secundaria","3415","1593","1822"
"2021-03-01","El Bercial","FP1 Grado Medio","973","434","539"
"2021-03-01","El Bercial","FP2 Grado Superior","1225","467","758"
"2021-03-01","El Bercial","B.Superior.BUP,COU","2401","1218","1183"
"2021-03-01","El Bercial","Otras titulaciones medias","173","100","73"
"2021-03-01","El Bercial","Diplomados","796","553","243"
"2021-03-01","El Bercial","Arquitecto, Ingeniero Tec","268","73","195"
"2021-03-01","El Bercial","Licenciado Universitario","2311","1336","975"
"2021-03-01","El Bercial","Estudios superiores no Un","61","26","35"
"2021-03-01","El Bercial","Doctorado Postgrado","485","275","210"
"2021-03-01","El Bercial","Valor Desconocido","13","3","10"
"2021-03-01","Getafe-Norte","Menores de 16","3185","1524","1661"
"2021-03-01","Getafe-Norte","No sabe leer ni escribir","69","40","29"
"2021-03-01","Getafe-Norte","Sin Estudios","630","367","263"
"2021-03-01","Getafe-Norte","Enseñanza Primaria incomp","1812","1004","808"
"2021-03-01","Getafe-Norte","Enseñanza Secundaria","4255","2045","2210"
"2021-03-01","Getafe-Norte","FP1 Grado Medio","1224","566","658"
"2021-03-01","Getafe-Norte","FP2 Grado Superior","1401","588","813"
"2021-03-01","Getafe-Norte","B.Superior.BUP,COU","2812","1487","1325"
"2021-03-01","Getafe-Norte","Otras titulaciones medias","232","139","93"
"2021-03-01","Getafe-Norte","Diplomados","474","349","125"
"2021-03-01","Getafe-Norte","Arquitecto, Ingeniero Tec","127","32","95"
"2021-03-01","Getafe-Norte","Licenciado Universitario","2131","1193","938"
"2021-03-01","Getafe-Norte","Estudios superiores no Un","16","7","9"
"2021-03-01","Getafe-Norte","Doctorado Postgrado","389","222","167"
"2021-03-01","Getafe-Norte","Valor Desconocido","38","11","27"
"2021-03-01","Juan de la Cierva","Menores de 16","4063","1958","2105"
"2021-03-01","Juan de la Cierva","No sabe leer ni escribir","166","117","49"
"2021-03-01","Juan de la Cierva","Sin Estudios","2187","1346","841"
"2021-03-01","Juan de la Cierva","Enseñanza Primaria incomp","5231","2894","2337"
"2021-03-01","Juan de la Cierva","Enseñanza Secundaria","7638","3788","3850"
"2021-03-01","Juan de la Cierva","FP1 Grado Medio","1617","728","889"
"2021-03-01","Juan de la Cierva","FP2 Grado Superior","1251","517","734"
"2021-03-01","Juan de la Cierva","B.Superior.BUP,COU","3196","1655","1541"
"2021-03-01","Juan de la Cierva","Otras titulaciones medias","262","168","94"
"2021-03-01","Juan de la Cierva","Diplomados","377","270","107"
"2021-03-01","Juan de la Cierva","Arquitecto, Ingeniero Tec","114","26","88"
"2021-03-01","Juan de la Cierva","Licenciado Universitario","1611","951","660"
"2021-03-01","Juan de la Cierva","Estudios superiores no Un","39","21","18"
"2021-03-01","Juan de la Cierva","Doctorado Postgrado","304","170","134"
"2021-03-01","Juan de la Cierva","Valor Desconocido","71","29","42"
"2021-03-01","La Alhóndiga","Menores de 16","3877","1823","2054"
"2021-03-01","La Alhóndiga","No sabe leer ni escribir","123","93","30"
"2021-03-01","La Alhóndiga","Sin Estudios","1628","1015","613"
"2021-03-01","La Alhóndiga","Enseñanza Primaria incomp","3441","1864","1577"
"2021-03-01","La Alhóndiga","Enseñanza Secundaria","5433","2622","2811"
"2021-03-01","La Alhóndiga","FP1 Grado Medio","1236","571","665"
"2021-03-01","La Alhóndiga","FP2 Grado Superior","1141","485","656"
